name,fips
"Macon County, Illinois, United States",17115
"Macoupin County, Illinois, United States",17117
"Madison County, Illinois, United States",17119
"Marion County, Illinois, United States",17121
"Marshall County, Illinois, United States",17123
"Mason County, Illinois, United States",17125
"Massac County, Illinois, United States",17127
"Menard County, Illinois, United States",17129
"Mercer County, Illinois, United States",17131
"Monroe County, Illinois, United States",17133
"Montgomery County, Illinois, United States",17135
"Morgan County, Illinois, United States",17137
"Moultrie County, Illinois, United States",17139
"Ogle County, Illinois, United States",17141
"Peoria County, Illinois, United States",17143
"Perry County, Illinois, United States",17145
"Piatt County, Illinois, United States",17147
"Pike County, Illinois, United States",17149
"Pope County, Illinois, United States",17151
"Pulaski County, Illinois, United States",17153
"Putnam County, Illinois, United States",17155
"Randolph County, Illinois, United States",17157
